year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,stock_name,price
2001,Pepsi,True,False,False,False,False,False,True,PEP,-1.3297342518201916
2001,Pepsi,True,True,False,False,False,False,True,PEP,-1.3297342518201916
2001,Doritos,True,True,False,True,False,False,True,PEP,-1.3297342518201916
2001,Pepsi,True,False,True,True,False,True,True,PEP,-1.3297342518201916
2001,Pepsi,True,False,False,True,True,False,False,PEP,-1.3297342518201916
2002,Pepsi,False,True,False,True,False,False,True,PEP,1.0127284628539925
2003,Pepsi,True,True,False,True,False,False,False,PEP,-1.5191108278842904
2004,Pepsi,True,False,False,False,False,True,False,PEP,3.450902097537842
2004,Toyota,True,True,False,False,True,False,False,TM,2.3061891552600287
2004,Pepsi,True,True,False,False,False,False,False,PEP,3.450902097537842
2005,Pepsi,True,True,False,False,False,False,False,PEP,0.10870643711974282
2005,Pepsi,True,True,False,True,False,False,True,PEP,0.10870643711974282
2005,Pepsi,True,False,False,True,False,False,True,PEP,0.10870643711974282
2006,Pepsi,True,True,False,True,True,False,False,PEP,0.755312996535956
2006,Pepsi,True,True,False,True,False,False,True,PEP,0.755312996535956
2007,Doritos,True,True,False,False,True,False,True,PEP,-0.5340085942106825
2007,Coca-Cola,False,True,True,False,True,True,False,KO,-0.3581223610369477
2007,Coca-Cola,False,True,False,False,False,True,False,KO,-0.3581223610369477
2007,Toyota,False,True,False,False,False,False,False,TM,-0.948207681197502
2007,Doritos,True,True,False,False,False,False,True,PEP,-0.5340085942106825
2008,Doritos,True,True,False,False,True,False,False,PEP,-1.960651109672277
2008,Coca-Cola,True,True,True,True,False,False,False,KO,-0.5675120791212223
2008,Pepsi,True,False,False,True,True,False,True,PEP,-1.960651109672277
2008,Coca-Cola,True,True,False,True,True,True,False,KO,-0.5675120791212223
2009,Pepsi,True,False,False,False,True,False,False,PEP,-0.7365788388745642
2009,Doritos,True,True,False,False,False,False,False,PEP,-0.7365788388745642
2009,Coca-Cola,False,True,False,False,False,True,False,KO,-0.8376005803071376
2009,Coca-Cola,True,False,False,False,False,True,False,KO,-0.8376005803071376
2009,Doritos,True,True,False,False,True,True,True,PEP,-0.7365788388745642
2009,Coca-Cola,True,True,False,True,True,False,False,KO,-0.8376005803071376
2009,Pepsi,False,False,True,True,True,False,False,PEP,-0.7365788388745642
2009,Doritos,True,True,False,False,True,False,False,PEP,-0.7365788388745642
2010,Hynudai,False,True,True,False,False,False,False,HYMTF,1.3249998092651367
2010,Bud Light,True,False,False,False,True,False,True,BUD,-0.15437860432539452
2010,Bud Light,True,False,False,False,False,False,False,BUD,-0.15437860432539452
2010,Doritos,True,True,False,False,True,False,False,PEP,2.665603716952397
2010,Doritos,True,True,False,False,False,False,False,PEP,2.665603716952397
2010,Doritos,True,True,False,False,True,True,False,PEP,2.665603716952397
2010,Hynudai,False,False,False,True,False,False,False,HYMTF,1.3249998092651367
2010,Bud Light,True,True,False,True,False,False,False,BUD,-0.15437860432539452
2010,Budweiser,True,True,True,False,False,True,False,BUD,-0.15437860432539452
2011,Coca-Cola,False,False,False,False,False,False,False,KO,0.0672346738267855
2011,Bud Light,True,True,False,False,False,True,False,BUD,-0.5898497918189065
2011,Coca-Cola,True,False,False,False,True,True,False,KO,0.0672346738267855
2011,Hynudai,True,False,False,False,False,False,False,HYMTF,-0.11999988555908203
2011,Doritos,True,True,False,False,True,True,False,PEP,-1.5411710798305336
2011,Hynudai,False,False,False,False,False,True,False,HYMTF,-0.11999988555908203
2011,Hynudai,False,False,False,False,False,False,False,HYMTF,-0.11999988555908203
2011,Pepsi,True,True,False,False,True,False,True,PEP,-1.5411710798305336
2012,Bud Light,True,True,False,False,False,True,True,BUD,6.94190493612205
2012,Hynudai,True,True,False,False,True,False,False,HYMTF,0.75
2012,Pepsi,False,True,False,True,False,False,False,PEP,-0.6157242336190833
2012,Doritos,True,False,False,False,True,True,False,PEP,-0.6157242336190833
2012,Toyota,True,True,False,False,True,True,True,TM,10.857011465855521
2012,Coca-Cola,False,True,False,False,False,True,False,KO,1.048922042120541
2012,Coca-Cola,False,True,False,False,False,True,False,KO,1.048922042120541
2012,Budweiser,False,True,True,False,False,True,False,BUD,6.94190493612205
2012,Coca-Cola,False,True,False,False,True,True,False,KO,1.048922042120541
2012,Bud Light,False,True,False,False,False,False,False,BUD,6.94190493612205
2012,Doritos,True,True,False,False,False,False,False,PEP,-0.6157242336190833
2012,Budweiser,False,True,True,False,False,True,True,BUD,6.94190493612205
2013,Hynudai,True,True,False,False,True,True,False,HYMTF,1.2749996185302734
2013,Hynudai,False,False,False,False,False,True,False,HYMTF,1.2749996185302734
2013,Doritos,True,True,False,False,False,True,False,PEP,5.366774638634176
2013,Budweiser,False,True,False,False,False,False,True,BUD,5.701530898501915
2013,Hynudai,True,True,False,False,True,True,False,HYMTF,1.2749996185302734
2013,Bud Light,True,True,True,True,True,True,True,BUD,5.701530898501915
2013,Bud Light,True,True,False,True,False,False,False,BUD,5.701530898501915
2013,Doritos,True,True,False,False,False,False,False,PEP,5.366774638634176
2013,Kia,True,False,False,False,False,True,True,KIMTF,0.0
2013,Budweiser,False,True,False,False,False,False,True,BUD,5.701530898501915
2013,Kia,True,True,False,False,True,False,True,KIMTF,0.0
2013,Budweiser,False,True,False,False,False,True,False,BUD,5.701530898501915
